Vuursteen
Observe 1
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Zwaard
Wat een lang zwaard is dit!
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Lege geitenleren zak
Observe 1
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Geitenleren zak
Dit is een geitenleren zak
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Licht gevulde geitenleren zak
Observe 1
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Deels gevulde geitenleren zak
Observe 1
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Bijna volle geitenleren zak
Observe 1
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Volle geitenleren zak
Observe 1
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Kastsleutel
Dit is een sleutel.
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Kast
Mijn wijn is in de kast.
"O, hier heb ik mijn wijn verstopt"
Het is slechts een lege kast!
"Verdorie,  hij zit op slot! Ik moet eerst de sleutel vinden."
Interact 2
Interact 3
PickUp
Open kast
Dus hier verberg ik mijn wijn.
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Flessen wijn
Wijn
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Slapen schapen
Ik ruik de gyros al. Lekker!
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Schapen in de kooi
Hier wonen de schapen.
Alle schapen zijn buiten gras aan het eten.
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Schapenstront
Dit is stront!
Niemand zal weten dat er een stok onder ligt.
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Schapenstront met stok
De stok is goed verstopt
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Plaat
Wat een grote steen!
Hij is te zwaar om te verplaatsen!
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Stapel feta
Dit is geitenkaas!
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Verbrand hout
Dit is verbrand hout!
Misschien is er iemand van wie ik iets kan lenen om het vuur aan te steken.
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Houtvuur
Het brandt als een vuurtje.
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Twijgenbed
Een bed van twijgen! Dus dit is waar onze vriend slaapt. Misschien kunnen we dit gebruiken?
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Twijg
Observe 1
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Boom
Dit is een grote boom.
Deze tak kan van pas komen.
Ik kan het voor nu beter laten liggen.
Ik kan deze tak nooit met de hand verwijderen.
Interact 2
Interact 3
PickUp
Tak
Wat een mooie tak!
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
Staak
Observe 1
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Verkoolde staak
Observe 1
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Hersens en bloed
"Ik zou hem moeten vermoorden met mijn zwaard,  maar hoe ontsnappen we dan?"
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Cycloop
Ik hoef niet dood…
Hoe kunnen we langs hem glippen?
Waarmee kan ik zo'n bruut beest kalmeren? Ik kan hem nu beter niet benaderen.
Interact 1
Interact 2
Interact 3
PickUp
Dronken Cycloop
Hij wordt een beetje dronken.
Hij ziet er behoorlijk dronken uit.
Hij slaapt. Dit is mijn kans.
Interact 1
Interact 2
Interact 3
PickUp
Grote Ram
Ram
Observe 2
Observe 3
Tijd om me hierin te verstoppen.
Interact 2
Interact 3
PickUp
Schapen
Ik denk dat de schapen gaan grazen.
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Vastgebonden schapen
Ze kunnen elkaar niet loslaten.
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Bosje
Dit bosje is te stekelig om met de hand te verwijderen
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Dode boom
Deze boom ziet eruit alsof hij elk moment om kan vallen. Misschien kan ik iets doen om hem om te laten vallen.
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Ranken
Deze ranken zien eruit alsof ze van pas kunnen komen.
Wat een mooie ranken.
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Rivier
Ah! Wat een grote krokodil.
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
Ingang grot
Wat donker hier. Ik kan beter wat mannen meenemen.
Observe 2
Observe 3
Interact 1
Interact 2
Interact 3
PickUp
